Ticker,Short Name,Market Cap,Ticker.1,BICS L1 Sect Nm,BICS L2 IG Nm,BICS L3 Ind Nm,Avg D Val Traded 5D:D-5,PORT US Sz Fact Exp:D-1,PORT US Prof Fact Exp:D-1,PORT US Vol Fact Exp:D-1,PORT US Trd Act Fact Exp:D-1,PORT US Lev Fact Exp:D-1,PORT US Mom Fact Exp:D-1,PORT US Val Fact Exp:D-1,PORT US Gr Fact Exp:D-1,PORT US Dvd Yld Fact Exp:D-1,PORT US Earn Var Fact Exp:D-1,P/S,BEst P/S BF12M,P/B,BEst P/B BF12M,P/E,BEst P/E BF12M,ROE LF,T12M R&D/Sls,GICS Sector,GICS Ind,GICS SubInd,GICS Sector.1,GICS Ind Name,GICS SubInd Name,ESG Disclosure Score (Latest Available) (BLOOMBERG L.P.),Beta:Y-1,Total Return:Y-1,Number of Employees:Y,Number of Employees:Y-5
AVGO US Equity,BROADCOM INC,1054045778799.7198,AVGO US,Technology,Tech Hardware & Semiconductors,Semiconductors,5469051904.0,0.7262231707572937,-0.1335596889257431,1.392158031463623,-0.06668101251125336,0.3017815947532654,1.6208183765411377,-0.618736207485199,0.6645371913909912,-0.06042531505227089,0.06072771176695824,20.188365936279297,16.482398438243976,15.569916725158691,11.376245308040781,85.28433227539062,33.527227871850954,12.86191177368164,18.051731492612557,45.0,453010.0,45301020.0,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,,2.1106355196505455,81.24348565599098,37000.0,19000.0
BRK/A US Equity,BERKSHIRE HATH-A,1019307846809.4401,BRK/A US,Financials,Insurance,Insurance,993848192.0,1.805204153060913,-0.5789982080459595,-1.2543675899505615,0.5994471907615662,-0.8347932696342468,-0.29234981536865234,0.984096348285675,-0.6452239751815796,-0.7094537615776062,-0.6158202290534973,2.252115249633789,2.797337623188198,1.6200517416000366,1.471564940219918,24.565670013427734,23.58826912007753,18.516128540039062,,40.0,402010.0,40201030.0,Financials,Financial Services,Multi-Sector Holdings,34.372798919677734,0.6535955605174365,18.288471967295173,396440.0,389373.0
BRK/B US Equity,BERKSHIRE HATH-B,1019307846809.4401,BRK/B US,Financials,Insurance,Insurance,1720267264.0,1.805204153060913,-0.5789982080459595,-1.2543675899505615,0.5994471907615662,-0.8347932696342468,-0.29234981536865234,0.984096348285675,-0.6452239751815796,-0.7094537615776062,-0.6158202290534973,2.252115249633789,2.797337623188198,1.6200517416000366,1.471993517911043,24.565670013427734,23.59515861363908,18.516128540039062,,40.0,402010.0,40201030.0,Financials,Financial Services,Multi-Sector Holdings,34.372798919677734,0.663104834675178,18.880447085661878,396440.0,389373.0
LLY US Equity,ELI LILLY & CO,833793467197.14,LLY US,Health Care,Health Care,Biotech & Pharma,3949842688.0,0.36045902967453003,0.2284339815378189,0.2787736654281616,-0.6988877654075623,0.4443104863166809,-0.2703734338283539,-0.7301265001296997,0.6072688102722168,-0.28599783778190613,-0.513251006603241,17.58041763305664,13.768805479550718,58.55290985107422,25.24636641303112,57.16002655029297,37.13715806888803,65.74758911132812,24.400402284942952,35.0,352020.0,35202010.0,Health Care,Pharmaceuticals,Pharmaceuticals,,0.863560687385691,21.872430154837332,43000.0,33090.0
WMT US Equity,WALMART INC,812577015647.2501,WMT US,Consumer Staples,Retail & Wholesale - Staples,Retail - Consumer Staples,1558532864.0,1.3809897899627686,-0.8292847275733948,-0.14271992444992065,-0.9705371856689453,-0.2545858323574066,0.6651176810264587,-0.1433086097240448,-0.4805520176887512,-0.226361945271492,-0.27379700541496277,1.2086197137832642,1.1446799790540476,9.223215103149414,8.040444509085175,41.470272064208984,36.33877056743547,23.484758377075195,0,30.0,301010.0,30101040.0,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail,,0.5071064571338577,81.28757628922092,2100000.0,2200000.0
JPM US Equity,JPMORGAN CHASE,776470888387.6001,JPM US,Financials,Banking,Banking,1833724160.0,1.9538283348083496,-1.2603256702423096,-0.2214137315750122,-0.7261045575141907,0.5375852584838867,0.3259038031101227,-0.3711329996585846,-1.0909929275512695,0.3549309968948364,-0.9899951815605164,2.8419413566589355,4.405012418828048,2.376221179962158,2.202594551717674,13.78242301940918,14.966076878680804,18.191822052001953,,40.0,401010.0,40101010.0,Financials,Banks,Diversified Banks,,0.8805467654484674,60.797134358738035,317233.0,256981.0
V US Equity,VISA INC-CLASS A,699448946054.581,V US,Financials,Financial Services,Specialty Finance,1872263936.0,0.3515167534351349,2.1568188667297363,-0.08811154216527939,-0.5812492966651917,-0.29270288348197937,-0.35496294498443604,-0.4046473801136017,-0.21822203695774078,-0.3107190430164337,-0.2394060641527176,16.4157657623291,17.037069986056334,17.311649322509766,17.3180317731074,34.955078125,29.51857502556995,52.89895248413086,,40.0,402010.0,40201060.0,Financials,Financial Services,Transaction & Payment Processing Services,51.554168701171875,0.7087687071046833,25.519836765818216,31600.0,19500.0
SPY US Equity,SPDR S&P 500 ETF,627163097329.32,SPY,,,,26020560896.0,,,,,,,,,,,,,,,,,,#N/A Field Not Applicable,,,,,,,,0.9931494538644513,22.158176399694263,,
VOO US Equity,VANGUARD S&P 500,622119075303.0,VOO,,,,3223338496.0,,,,,,,,,,,,,,,,,,#N/A Field Not Applicable,,,,,,,,0.9945484627016459,22.216738430638806,,
IVV US Equity,ISHARES-C S&P500,600388517861.9385,IVV,,,,2514984448.0,,,,,,,,,,,,,,,,,,#N/A Field Not Applicable,,,,,,,,0.9933254128786144,22.307738385448815,,
MA US Equity,MASTERCARD INC-A,516568423222.99994,MA US,Financials,Financial Services,Specialty Finance,1349552896.0,-0.02009844407439232,3.000260591506958,-0.386491060256958,-0.8440961837768555,0.46320152282714844,-0.31224504113197327,-0.512080729007721,0.4212656021118164,-0.3951021432876587,0.246576189994812,18.48265838623047,16.177703966543014,79.31433868408203,76.59133636532404,38.5158576965332,34.72099810535386,191.94871520996094,,40.0,402010.0,40201060.0,Financials,Financial Services,Transaction & Payment Processing Services,,0.7439849006770426,22.525606522015316,33400.0,14800.0
TCEHY US Equity,TENCENT HOLD-ADR,507013286102.16,TCEHY US,Communications,Media,Internet Media & Services,178147360.0,0.7093850374221802,0.010974671691656113,1.4621644020080566,-0.9445157051086426,-0.4568510055541992,0.1271187961101532,0.4222868084907532,-0.695575475692749,-0.22853223979473114,-0.7851877808570862,5.822617053985596,5.131011866135534,4.104701995849609,3.2306344410158325,21.99815559387207,16.112412317154398,20.197965621948242,10.463027618672891,50.0,502030.0,50203010.0,Communication Services,Interactive Media & Services,Interactive Media & Services,,0.7536664967843524,48.717432075072644,105417.0,54309.0
ORCL US Equity,ORACLE CORP,487956943760.00006,ORCL US,Technology,Software & Tech Services,Software,1365987328.0,0.43444934487342834,0.7350355982780457,1.5959073305130005,-0.7561513781547546,1.2366204261779785,0.457970529794693,-0.2667805254459381,-0.30292731523513794,-0.1490415781736374,-0.8193762302398682,8.775249481201172,7.7752152240151124,35.4859733581543,17.889772254621697,41.06571578979492,25.82803241686212,132.00091552734375,16.840514808949084,45.0,451030.0,45103020.0,Information Technology,Software,Systems Software,57.941856384277344,1.3814868870475008,50.398565549443134,159000.0,136000.0
UNH US Equity,UNITEDHEALTH GRP,485017452548.01996,UNH US,Health Care,Health Care,Health Care Facilities & Svcs,2026602112.0,1.1266252994537354,-0.9973689317703247,0.03490372747182846,-0.5421578288078308,0.07037200778722763,-0.7483622431755066,0.10511267930269241,0.1283145695924759,0.17642132937908173,-0.3027091324329376,1.2156175374984741,1.06243059308065,4.935660362243652,4.41672959427145,20.0955810546875,17.48977443119534,15.404439926147461,,35.0,351020.0,35102030.0,Health Care,Health Care Providers & Services,Managed Health Care,,0.47025966489919807,3.0578050873785623,440000.0,300000.0
XOM US Equity,EXXON MOBIL CORP,478581844025.04,XOM US,Energy,Oil & Gas,Oil & Gas Supply Chain,1441187840.0,1.2040950059890747,-0.9110415577888489,-0.26560282707214355,-0.6070456504821777,-0.8126758933067322,-0.43692514300346375,1.250173568725586,-0.1463593691587448,1.358504295349121,0.6408689022064209,1.378339409828186,1.4446195714129157,1.79745614528656,1.77902978208054,13.950047492980957,14.42031378216837,14.37758731842041,,10.0,101020.0,10102010.0,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,66.33135223388672,0.44925698708630907,10.156311202270674,61500.0,71000.0
VTI US Equity,VANGUARD TL SK E,474171695130.0,VTI,,,,977273024.0,,,,,,,,,,,,,,,,,,#N/A Field Not Applicable,,,,,,,,1.0058616723368878,22.37781207356331,,
COST US Equity,COSTCO WHOLESALE,463346079494.69995,COST US,Consumer Staples,Retail & Wholesale - Staples,Retail - Consumer Staples,2188779008.0,0.5713402628898621,-0.5433167815208435,-0.8672766089439392,-0.5091143250465393,-0.6944150924682617,0.03494228422641754,-0.4970816969871521,0.8476697206497192,-0.4363119602203369,0.7766099572181702,1.7905445098876953,1.6476384925858154,18.951826095581055,14.482608872429768,61.35006332397461,54.839159602653154,29.94584846496582,0,30.0,301010.0,30101040.0,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail,45.9611701965332,0.8388047610230286,45.81123337040758,166500.0,254000.0
NFLX US Equity,NETFLIX INC,433715756403.0,NFLX US,Communications,Media,Entertainment Content,4010048768.0,0.03271454572677612,1.1552118062973022,-0.3208145201206207,0.5123863220214844,-0.1202462762594223,0.8297644853591919,-0.5654618144035339,0.19516851007938385,-0.7094537615776062,0.07090504467487335,11.16511058807373,9.660304150643459,17.528425216674805,14.099136616651773,51.69673156738281,39.88907406682608,38.434898376464844,7.500570626891652,50.0,502020.0,50202010.0,Communication Services,Entertainment,Movies & Entertainment,44.844581604003906,1.13802482191314,81.28553813791588,14000.0,8600.0
HD US Equity,HOME DEPOT INC,404666127250.44,HD US,Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,970125888.0,0.5176506638526917,0.9365425705909729,0.7740195393562317,-0.6981726884841919,1.4574310779571533,-0.4056432247161865,-0.13044074177742004,-0.5678272247314453,0.5259451866149902,-0.11496884375810623,2.6093668937683105,2.4643200785686705,69.9133071899414,33.084635162733385,27.674591064453125,25.800936904442857,404.9334716796875,,25.0,255040.0,25504030.0,Consumer Discretionary,Specialty Retail,Home Improvement Retail,60.748416900634766,0.8114209941500289,15.061093478184784,463100.0,413000.0
PG US Equity,PROCTER & GAMBLE,393864759197.58,PG US,Consumer Staples,Consumer Staple Products,Household Products,1081263744.0,0.4245118498802185,0.6065417528152466,-0.157981738448143,-0.8246608376502991,-0.305090069770813,-0.650253415107727,-0.018818410113453865,-1.178291916847229,0.6649696826934814,-1.0300098657608032,4.7462615966796875,4.527285177376789,7.817879676818848,7.3474483389078555,22.860746383666992,23.320804878776226,31.264142990112305,,30.0,303010.0,30301010.0,Consumer Staples,Household Products,Household Products,49.1600456237793,0.3099350592403733,8.161271105562463,108000.0,97000.0
NVO US Equity,NOVO-NORDISK-ADR,385865300000.0,NVO US,Health Care,Health Care,Biotech & Pharma,833292992.0,0.028386926278471947,1.711928367614746,0.8524101376533508,-1.2291920185089111,-0.5811269283294678,-1.2721071243286133,-0.13239789009094238,1.7643163204193115,0.21503610908985138,1.4328724145889282,9.64433765411377,7.8368585793514995,19.46141242980957,12.917522915131192,27.74151039123535,22.225033558615504,80.77521514892578,16.550104509939636,35.0,352020.0,35202010.0,Health Care,Pharmaceuticals,Pharmaceuticals,,0.8388952193468157,-26.36331409883903,77349.0,43258.0
JNJ US Equity,JOHNSON&JOHNSON,368655229472.64,JNJ US,Health Care,Health Care,Biotech & Pharma,1193775488.0,0.5163593292236328,-0.10273323208093643,-0.7183220386505127,-0.7381232976913452,-0.3567774295806885,-1.1315582990646362,0.3654817044734955,-1.2227650880813599,1.1527608633041382,-0.759496808052063,4.158698081970215,4.073474278710279,5.253933429718018,4.7697309074930825,20.35634994506836,14.408835965635975,20.77150535583496,21.331667060717624,35.0,352020.0,35202010.0,Health Care,Pharmaceuticals,Pharmaceuticals,,0.27108296245210856,0.006368199741824121,134400.0,135100.0
BAC US Equity,BANK OF AMERICA,363694492992.6,BAC US,Financials,Banking,Banking,1535053184.0,1.5319972038269043,-1.51471745967865,-0.5324817895889282,-0.3480342924594879,0.6027176380157471,0.1895715892314911,0.6675745248794556,-0.9321721196174622,0.552977979183197,-1.2090576887130737,1.9349058866500854,3.3147156093450185,1.3243571519851685,1.231463627171043,14.626401901245117,12.611701063131955,9.522279739379883,,40.0,401010.0,40101010.0,Financials,Banks,Diversified Banks,73.7450942993164,0.8763063442111156,46.499239539243305,213193.0,208000.0
SAP US Equity,SAP SE-SPONS ADR,343538923436.48,SAP US,Technology,Software & Tech Services,Software,293474016.0,0.048070311546325684,-0.804548978805542,-0.1789337694644928,-1.1486984491348267,-0.8695901036262512,0.8865894079208374,-0.6112092137336731,-0.6909348368644714,-0.23939642310142517,-0.8654857873916626,9.225061416625977,8.51775925906369,7.310464859008789,6.4642235760652635,101.27340698242188,43.68005555610278,7.052077770233154,19.057233146067414,45.0,451030.0,45103010.0,Information Technology,Software,Application Software,,1.0588507571153085,56.27947750184621,,100330.0
ABBV US Equity,ABBVIE INC,336816945563.8,ABBV US,Health Care,Health Care,Biotech & Pharma,1222916864.0,0.28895828127861023,1.5503441095352173,0.5382771492004395,-0.7632808089256287,1.1904326677322388,-0.5950656533241272,0.004720816854387522,-1.0749447345733643,1.4146573543548584,-0.7012511491775513,5.98435115814209,5.6285274165713215,55.83723449707031,46.44145175577181,25.311874389648438,15.348513613680483,56.1734504699707,22.705648453864452,35.0,352010.0,35201010.0,Health Care,Biotechnology,Biotechnology,,0.41766484558322353,12.929567074284298,50000.0,30000.0
QQQ US Equity,INVESCO QQQ TRUS,327975424000.0,QQQ,,,,14308736000.0,,,,,,,,,,,,,,,,,,#N/A Field Not Applicable,,,,,,,,1.2317836307608323,21.766693597162657,,
CRM US Equity,SALESFORCE INC,311819310000.0,CRM US,Technology,Software & Tech Services,Software,2340455936.0,0.09852610528469086,-0.26595428586006165,0.6360169649124146,-0.06977391242980957,-0.7518141865730286,-0.21603207290172577,-0.36561641097068787,-0.35825568437576294,-0.4529622793197632,-0.5346196889877319,8.453984260559082,7.5007370306539185,5.84573221206665,4.696185035294367,49.987220764160156,28.995653153027384,10.178792953491211,14.380596412917798,45.0,451030.0,45103010.0,Information Technology,Software,Application Software,,1.193416240393173,13.447160212813358,72682.0,35995.0
TM US Equity,TOYOTA MOTOR-ADR,290596179289.07996,TM US,Consumer Discretionary,Consumer Discretionary Products,Automotive,87279784.0,1.0974620580673218,-1.019403338432312,0.9567992091178894,-1.0377165079116821,0.47890999913215637,-0.3973497152328491,1.5362813472747803,-0.9996533393859863,1.0336815118789673,-1.0176607370376587,0.8081620335578918,0.9388886492610599,1.032056212425232,,7.384965419769287,8.59465031614159,14.890998840332031,2.739419182114463,25.0,251020.0,25102010.0,Consumer Discretionary,Automobiles,Automobile Manufacturers,68.42369842529297,0.8916227125267108,-15.365533559183175,380793.0,370870.0
ASML US Equity,ASML HOLDING-NY,286590594568.4,ASML US,Technology,Tech Hardware & Semiconductors,Semiconductors,1001108224.0,-0.22675147652626038,0.34496819972991943,1.368743658065796,-1.0746771097183228,-0.7211052775382996,-0.38399410247802734,-0.4188539385795593,0.35956937074661255,-0.1773044317960739,0.37307748198509216,9.782044410705566,8.365159676877841,14.968796730041504,13.289613715435562,36.51948165893555,28.3357035626183,47.427433013916016,15.227382894182833,45.0,453010.0,45301010.0,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,,1.7187873102924975,-20.601519571891778,44027.0,24900.0
TMUS US Equity,T-MOBILE US INC,281143276980.48,TMUS US,Communications,Telecommunications,Telecommunications,815366592.0,0.43875908851623535,-0.7771163582801819,-0.7004299163818359,-0.6328516006469727,1.12161386013031,-0.07304315268993378,0.3298168480396271,-0.8445664048194885,0.14002767205238342,-0.7643904685974121,3.535440683364868,3.2681875873904933,4.564897060394287,4.717295411147734,24.86227798461914,22.537720120103177,17.933509826660156,0,50.0,501020.0,50102010.0,Communication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,66.44200897216797,0.4892416101697053,54.431985640843685,70000.0,53000.0
KO US Equity,COCA-COLA CO/THE,275009769289.92,KO US,Consumer Staples,Consumer Staple Products,Beverages,822321408.0,0.11180849373340607,0.3422744572162628,-0.5976936221122742,-0.7184184789657593,0.6235154867172241,-0.7513721585273743,-0.23684774339199066,-0.8974195122718811,1.042775273323059,-0.7666361927986145,5.936550617218018,5.755760249743056,10.375986099243164,10.219065847288103,22.594470977783203,21.470410844762394,39.39594650268555,0,30.0,302010.0,30201030.0,Consumer Staples,Beverages,Soft Drinks & Non-alcoholic Beverages,,0.31735637064570305,9.660546679213699,79100.0,62600.0
CVX US Equity,CHEVRON CORP,274272078021.50003,CVX US,Energy,Oil & Gas,Oil & Gas Supply Chain,1025622528.0,0.7134693264961243,-0.9781736135482788,0.1611318439245224,-0.5121212601661682,-0.815384566783905,-0.4800346791744232,1.248488187789917,-0.2355348914861679,1.6670750379562378,0.4696015417575836,1.427522897720337,1.4194292493914564,1.7558807134628296,1.8423099660764972,18.41456413269043,13.781316866334652,10.378047943115234,,10.0,101020.0,10102010.0,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,62.307613372802734,0.5536550641728787,4.593304947801657,46500.0,48600.0
WFC US Equity,WELLS FARGO & CO,265319098685.43002,WFC US,Financials,Banking,Banking,1277914496.0,1.1632349491119385,-1.4310030937194824,0.03242352977395058,-0.35359102487564087,0.5519090890884399,0.522811770439148,0.8034973740577698,-1.1767466068267822,0.44912707805633545,-1.1776825189590454,2.203287363052368,3.108496103324023,1.6529549360275269,1.5458228057983732,14.99272346496582,13.55806803855054,11.413639068603516,,40.0,401010.0,40101010.0,Financials,Banks,Diversified Banks,,0.9303601454592028,70.4214884704633,217502.0,259800.0
RHHBY US Equity,ROCHE HLDGS-ADR,259649688088.74844,RHHBY US,Health Care,Health Care,Biotech & Pharma,59263780.0,0.1754896342754364,0.04184684157371521,-0.11512236297130585,-1.0872163772583008,0.1977454274892807,-0.46891772747039795,0.4092232286930084,-1.2662073373794556,1.2306740283966064,-0.6909576058387756,3.807471513748169,3.648443841510053,7.236150741577148,5.706558040022389,27.833290100097656,13.90646331100485,27.101274490356445,25.29795850896768,35.0,352020.0,35202010.0,Health Care,Pharmaceuticals,Pharmaceuticals,66.69348907470703,0.4768325822407635,27.1939997378152,103249.0,97735.0
PLTR US Equity,PALANTIR TECHN-A,252429106941.9,PLTR US,Technology,Software & Tech Services,Software,14838581248.0,-1.5375415086746216,-0.9435306191444397,-0.08335171639919281,3.0002400875091553,-1.1543999910354614,3.0001602172851562,-1.0558125972747803,2.140122890472412,-0.7094537615776062,2.2795310020446777,87.15129852294922,66.02317351101968,48.31344985961914,38.781923201827844,564.4007568359375,201.65381584774633,10.902203559875488,17.723844331910552,45.0,451030.0,45103010.0,Information Technology,Software,Application Software,35.15742874145508,1.8943256254905634,369.7033757726479,3735.0,
CSCO US Equity,CISCO SYSTEMS,248006356850.2,CSCO US,Technology,Tech Hardware & Semiconductors,Technology Hardware,1130288896.0,0.13778382539749146,-0.22147783637046814,-0.560656726360321,-0.42807984352111816,-0.365740031003952,-0.27883511781692505,0.1524890959262848,-0.956498384475708,0.8152813911437988,-0.8396155834197998,4.731394290924072,4.321222366373597,5.465490341186523,5.208689971197283,22.630313873291016,16.340424978331907,20.7609920501709,15.773180308064031,45.0,452010.0,45201020.0,Information Technology,Communications Equipment,Communications Equipment,61.20108413696289,0.7823450910300259,29.062209908224546,90400.0,75900.0
BABA US Equity,ALIBABA GRP-ADR,245934791727.02,BABA US,Consumer Discretionary,Retail & Whsle - Discretionary,E-Commerce Discretionary,2621495808.0,0.5464840531349182,-1.081178069114685,1.0542950630187988,0.06071087718009949,-0.6901138424873352,-0.29450559616088867,0.9686567783355713,-0.749111533164978,-0.13445620238780975,-0.6371042728424072,1.9144598245620728,1.6713413542501838,1.8939300775527954,1.5397925648860606,14.273176193237305,10.792600892809537,8.63204574584961,5.730793660034035,25.0,255030.0,25503030.0,Consumer Discretionary,Broadline Retail,Broadline Retail,49.07957077026367,0.7976360271505921,43.64534908097133,204891.0,101958.0
ACN US Equity,ACCENTURE PLC-A,241692932083.25998,ACN US,Technology,Software & Tech Services,IT Services,1144857600.0,-0.022033626213669777,0.020226189866662025,-0.08668942004442215,-0.582049548625946,-0.7124338150024414,-0.7616702914237976,-0.13343757390975952,-0.025835001841187477,0.18780739605426788,-0.4202546179294586,3.648237466812134,3.4104593231234106,8.268715858459473,7.108542982288612,31.461261749267578,28.985142112460924,27.100805282592773,,45.0,451020.0,45102010.0,Information Technology,IT Services,IT Consulting & Other Services,54.47138214111328,0.7374046188931391,7.033288760787593,774000.0,492000.0
RY CN Equity,ROYAL BANK OF CA,241062731308.08,RY CN,Financials,Banking,Banking,977126592.0,0.8979524374008179,-1.3702375888824463,-0.8171347975730896,-0.54056316614151,-1.010660171508789,-0.01059710793197155,0.26027554273605347,-0.9876320958137512,1.198933720588684,-1.147013545036316,1.7911348342895508,3.8422558745497266,2.0421154499053955,1.8764110200289439,14.320944786071777,12.87793364151626,14.090845108032227,,40.0,401010.0,40101010.0,Financials,Banks,Diversified Banks,,0.8927078431401729,35.27168613793394,98000.0,82801.0
